batting_team,batsman_order
Chennai Super Kings,"['DP Conway', 'RD Gaikwad', 'MM Ali', 'BA Stokes', 'AT Rayudu', 'AM Rahane', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'MJ Santner', 'DL Chahar', 'TU Deshpande']"
Delhi Capitals,"['PP Shaw',  'PD Salt', 'DA Warner', 'MR Marsh', 'MK Pandey', 'SN Khan', 'RR Rossouw' ,'PK Garg', 'R Powell', 'Aman Hakim Khan', 'AR Patel', 'Kuldeep Yadav', 'C Sakariya', 'Mukesh Kumar', 'Abishek Porel', 'A Nortje', 'Lalit Yadav', 'YV Dhull', 'Mustafizur Rahman', 'RV Patel', 'I Sharma', 'P Dubey']"
Gujarat Titans,"['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'V Shankar', 'R Tewatia', 'Rashid Khan', 'DA Miller', 'A Manohar', 'Noor Ahmad', 'AS Joseph', 'MD Shanaka', 'Mohammed Shami', 'MM Sharma', 'DG Nalkande']"
Kolkata Knight Riders,"['JJ Roy', 'Mandeep Singh', 'Rahmanullah Gurbaz',  'VR Iyer', 'N Rana', 'RK Singh', 'AD Russell',  'SP Narine', 'SN Thakur', 'AS Roy', 'UT Yadav', 'N Jagadeesan',  'Liton Das', 'CV Varun', 'D Wiese', 'Harshit Rana', 'VG Arora']"
Lucknow Super Giants,"[ 'Q de Kock', 'KL Rahul', 'KR Mayers', 'DJ Hooda', 'KH Pandya', 'MP Stoinis', 'N Pooran', 'A Badoni', 'K Gowtham', 'M Vohra', 'MA Wood', 'R Shepherd', 'JD Unadkat', 'Ravi Bishnoi', 'Avesh Khan', 'Yudhvir Singh', 'A Mishra', 'Naveen-ul-Haq', 'KS Sharma', 'Swapnil Singh', 'PN Mankad', 'Mohsin Khan (2)']"
Mumbai Indians,"['RG Sharma', 'Ishan Kishan', 'C Green', 'SA Yadav', 'Tilak Varma', 'N Wadhera', 'T Stubbs', 'TH David', 'HR Shokeen', 'Arshad Khan (2)',  'PP Chawla', 'JC Archer', 'Arjun Tendulkar', 'JP Behrendorff', 'RP Meredith', 'Vishnu Vinod', 'CJ Jordan', 'K Kartikeya']"
Punjab Kings,"['P Simran Singh', 'S Dhawan', 'PBB Rajapaksa', 'JM Sharma', 'LS Livingstone', 'Sikandar Raza', 'SM Curran', 'M Shahrukh Khan', 'MW Short', 'R Dhawan', 'Harpreet Brar', 'RD Chahar', 'NT Ellis', 'Mohit Rathee', 'Atharva Taide', 'Harpreet Singh', 'K Rabada', 'Arshdeep Singh']"
Rajasthan Royals,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Parag', 'SO Hetmyer', 'JE Root', 'R Ashwin', 'Dhruv Jurel', 'JO Holder', 'A Zampa', 'TA Boult', 'Abdul Basith', 'Sandeep Sharma', 'KM Asif']"
Royal Challengers Bangalore,"['V Kohli', 'F du Plessis', 'KD Karthik', 'GJ Maxwell' , 'KM Jadhav', 'MK Lomror',  'Anuj Rawat', 'SS Prabhudessai', 'Shahbaz Ahmed', 'DJ Willey', 'MG Bracewell', 'KV Sharma', 'Akash Deep', 'HV Patel', 'WD Parnell', 'PWH de Silva', 'Vijaykumar Vyshak', 'Mohammed Siraj', 'JR Hazlewood']"
Sunrisers Hyderabad,"['Abhishek Sharma', 'Anmolpreet Singh', 'Vivrant Sharma', 'RA Tripathi', 'HC Brook',  'H Klaasen', 'AK Markram', 'MA Agarwal', 'GD Phillips', 'Abdul Samad', 'Sanvir Singh', 'Washington Sundar', 'AU Rashid', 'B Kumar', 'Umran Malik',  'M Jansen', 'M Markande', 'AJ Hosein',  'Fazalhaq Farooqi']"